eo_id,year,text_source,classification,char_count,page_count,md_path
1946-EO-D0107,1946,ocr-vlm,scanned,960,1,corpus/1946/1946-EO-D0107.md
1946-EO-D0125,1946,ocr-vlm,scanned,706,1,corpus/1946/1946-EO-D0125.md
1946-EO-002,1946,ocr-vlm,scanned,2207,2,corpus/1946/1946-EO-002.md
1946-EO-003,1946,ocr-vlm,scanned,3547,2,corpus/1946/1946-EO-003.md
1946-EO-004,1946,ocr-vlm,scanned,3455,1,corpus/1946/1946-EO-004.md
1946-EO-005,1946,ocr-vlm,scanned,452,1,corpus/1946/1946-EO-005.md
1948-EO-005,1948,ocr-vlm,scanned,465,1,corpus/1948/1948-EO-005.md
1946-EO-D0507,1946,ocr-vlm,scanned,1220,1,corpus/1946/1946-EO-D0507.md
1946-EO-002-p026,1946,ocr-vlm,scanned,804,1,corpus/1946/1946-EO-002-p026.md
1946-EO-D0529,1946,ocr-vlm,scanned,1291,1,corpus/1946/1946-EO-D0529.md
1946-EO-008A,1946,ocr-vlm,scanned,1114,1,corpus/1946/1946-EO-008A.md
1946-EO-009,1946,ocr-vlm,scanned,1319,1,corpus/1946/1946-EO-009.md
1946-EO-010,1946,ocr-vlm,scanned,2617,2,corpus/1946/1946-EO-010.md
1946-EO-011,1946,ocr-vlm,scanned,2089,2,corpus/1946/1946-EO-011.md
1946-EO-012,1946,ocr-vlm,scanned,8871,5,corpus/1946/1946-EO-012.md
1946-EO-013,1946,ocr-vlm,scanned,1742,1,corpus/1946/1946-EO-013.md
1946-EO-014,1946,ocr-vlm,scanned,2673,2,corpus/1946/1946-EO-014.md
1946-EO-015,1946,ocr-vlm,scanned,969,1,corpus/1946/1946-EO-015.md
1946-EO-016,1946,ocr-vlm,scanned,499,1,corpus/1946/1946-EO-016.md
1947-EO-017,1947,ocr-vlm,scanned,1317,1,corpus/1947/1947-EO-017.md
1947-EO-018,1947,ocr-vlm,scanned,743,1,corpus/1947/1947-EO-018.md
1947-EO-019,1947,ocr-vlm,scanned,1444,1,corpus/1947/1947-EO-019.md
1947-EO-020,1947,ocr-vlm,scanned,457,1,corpus/1947/1947-EO-020.md
1947-EO-UNK,1947,ocr-vlm,scanned,233,1,corpus/1947/1947-EO-UNK.md
1947-EO-021,1947,ocr-vlm,scanned,556,1,corpus/1947/1947-EO-021.md
1947-EO-022,1947,ocr-vlm,scanned,532,1,corpus/1947/1947-EO-022.md
1947-EO-023,1947,ocr-vlm,scanned,1170,1,corpus/1947/1947-EO-023.md
1947-EO-024,1947,ocr-vlm,scanned,1021,1,corpus/1947/1947-EO-024.md
1947-EO-025,1947,ocr-vlm,scanned,903,1,corpus/1947/1947-EO-025.md
1947-EO-026,1947,ocr-vlm,scanned,503,1,corpus/1947/1947-EO-026.md
1947-EO-027,1947,ocr-vlm,scanned,626,1,corpus/1947/1947-EO-027.md
1947-EO-028,1947,ocr-vlm,scanned,625,1,corpus/1947/1947-EO-028.md
1947-EO-029,1947,ocr-vlm,scanned,871,1,corpus/1947/1947-EO-029.md
1947-EO-030,1947,ocr-vlm,scanned,3046,3,corpus/1947/1947-EO-030.md
1947-EO-031,1947,ocr-vlm,scanned,993,1,corpus/1947/1947-EO-031.md
1947-EO-032,1947,ocr-vlm,scanned,913,1,corpus/1947/1947-EO-032.md
1947-EO-D1229,1947,ocr-vlm,scanned,416,1,corpus/1947/1947-EO-D1229.md
1947-EO-034,1947,ocr-vlm,scanned,1887,1,corpus/1947/1947-EO-034.md
1947-EO-035,1947,ocr-vlm,scanned,499,1,corpus/1947/1947-EO-035.md
1948-EO-036,1948,ocr-vlm,scanned,1028,1,corpus/1948/1948-EO-036.md
1948-EO-037,1948,ocr-vlm,scanned,611,1,corpus/1948/1948-EO-037.md
1948-EO-038,1948,ocr-vlm,scanned,32143,9,corpus/1948/1948-EO-038.md
1948-EO-039,1948,ocr-vlm,scanned,1799,1,corpus/1948/1948-EO-039.md
1948-EO-040,1948,ocr-vlm,scanned,4426,6,corpus/1948/1948-EO-040.md
1948-EO-041,1948,ocr-vlm,scanned,2939,3,corpus/1948/1948-EO-041.md
1948-EO-042,1948,ocr-vlm,scanned,10503,8,corpus/1948/1948-EO-042.md
1948-EO-043,1948,ocr-vlm,scanned,785,1,corpus/1948/1948-EO-043.md
1949-EO-044,1949,ocr-vlm,scanned,1392,1,corpus/1949/1949-EO-044.md
1949-EO-045,1949,ocr-vlm,scanned,4879,3,corpus/1949/1949-EO-045.md
1949-EO-046,1949,ocr-vlm,scanned,7346,4,corpus/1949/1949-EO-046.md
1949-EO-047,1949,ocr-vlm,scanned,2559,2,corpus/1949/1949-EO-047.md
1949-EO-048,1949,ocr-vlm,scanned,536,1,corpus/1949/1949-EO-048.md
1950-EO-049,1950,ocr-vlm,scanned,831,1,corpus/1950/1950-EO-049.md
1950-EO-D0113,1950,ocr-vlm,scanned,323,1,corpus/1950/1950-EO-D0113.md
1950-EO-050,1950,ocr-vlm,scanned,1049,1,corpus/1950/1950-EO-050.md
1950-EO-051,1950,ocr-vlm,scanned,1768,2,corpus/1950/1950-EO-051.md
1950-EO-052,1950,ocr-vlm,scanned,1362,1,corpus/1950/1950-EO-052.md
1950-EO-053,1950,ocr-vlm,scanned,3569,3,corpus/1950/1950-EO-053.md
1950-EO-054,1950,ocr-vlm,scanned,3408,3,corpus/1950/1950-EO-054.md
1950-EO-D1004,1950,ocr-vlm,scanned,576,1,corpus/1950/1950-EO-D1004.md
1950-EO-001,1950,ocr-vlm,scanned,1390,1,corpus/1950/1950-EO-001.md
1950-EO-002,1950,ocr-vlm,scanned,1055,1,corpus/1950/1950-EO-002.md
1951-EO-003,1951,ocr-vlm,scanned,1067,1,corpus/1951/1951-EO-003.md
1951-EO-004,1951,ocr-vlm,scanned,1350,1,corpus/1951/1951-EO-004.md
1951-EO-005,1951,ocr-vlm,scanned,640,1,corpus/1951/1951-EO-005.md
1951-EO-006,1951,ocr-vlm,scanned,1551,1,corpus/1951/1951-EO-006.md
