mayor	series	number	reason	corpus_eo_ids	gpp_ids	date	title
Adams	EEO	74	no-pdf record	2022-EEO-74	h128nh386	2022-04-13	Emergency Executive order No. 74
Adams	EEO	75	no-pdf record	2022-EEO-75	00000253f	2022-04-13	Emergency Executive Order No. 75.
Adams	EEO	76	no-pdf record	2022-EEO-76	44558h046	2022-04-13	Emergency Executive Order No. 76.
Adams	EEO	164	no-pdf record	2022-EEO-164	nz806247r	2022-08-09	Emergency Executive Order No. 164
Adams	EEO	190	no-pdf record	2022-EEO-190	vq27zr15g	2022-08-29	Emergency Executive Order No. 190
Adams	EEO	191	no-pdf record	2022-EEO-191	ms35tc39t	2022-08-29	Emergency Executive Order No. 191
Adams	EEO	192	no-pdf record	2022-EEO-192	4t64gr21p	2022-08-29	Emergency Executive Order No. 192
Adams	EEO	193	no-pdf record	2022-EEO-193	8049g815m	2022-08-29	Emergency Executive Order No. 193
Adams	EEO	232	no-pdf record	2022-EEO-232	9880vv12z	2022-10-12	Emergency Executive Order No. 232
Adams	EEO	233	no-pdf record	2022-EEO-233	5425kd738	2022-10-12	Emergency Executive Order No. 233
Adams	EEO	234	no-pdf record	2022-EEO-234	7m01bp837	2022-10-12	Emergency Executive Order No. 234
Adams	EEO	235	no-pdf record	2022-EEO-235	k35696971	2022-10-12	Emergency Executive Order No. 235
Adams	EEO	258	no-pdf record	2022-EEO-258	hd76s307d	2022-11-11	Emergency Executive Order No. 258
Adams	EEO	259	no-pdf record	2022-EEO-259	w3763999p	2022-11-11	Emergency Executive Order No. 259
Adams	EEO	260	no-pdf record	2022-EEO-260	37720g75j	2022-11-11	Emergency Executive Order No. 260
Adams	EEO	261	no-pdf record	2022-EEO-261	1j92gb188	2022-11-11	Emergency Executive Order No. 261
Adams	EEO	262	no-pdf record	2022-EEO-262	n870zt869	2022-11-16	Emergency Executive Order No. 262
Adams	EEO	263	no-pdf record	2022-EEO-263	1g05ff40k	2022-11-16	Emergency Executive Order No. 263
Adams	EEO	264	no-pdf record	2022-EEO-264	kw52jc138	2022-11-16	Emergency Executive Order No. 264
Adams	EEO	265	no-pdf record	2022-EEO-265	9w032593w	2022-11-16	Emergency Executive Order No. 265
Adams	EEO	266	no-pdf record	2022-EEO-266	6q182n98h	2022-11-21	Emergency Executive Order No. 266
Adams	EEO	268	no-pdf record	2022-EEO-268	3n204200q	2022-11-21	Emergency Executive Order No. 268
Adams	EEO	269	no-pdf record	2022-EEO-269	gb19f8614	2022-11-21	Emergency Executive Order No. 269
Adams	EEO	270	no-pdf record	2022-EEO-270	sx61dq081	2022-11-26	Emergency Executive Order No. 270
Adams	EEO	271	no-pdf record	2022-EEO-271	wp988n90s	2022-11-26	Emergency Executive Order No. 271
Adams	EEO	272	no-pdf record	2022-EEO-272	00000284f	2022-11-26	Emergency Executive Order No. 272
Adams	EEO	273	no-pdf record	2022-EEO-273	f4752k14b	2022-11-26	Emergency Executive Order No. 273
Adams	EEO	282	no-pdf record	2022-EEO-282	g732dd046	2022-12-11	Emergency Executive Order No. 282
Adams	EEO	286	no-pdf record	2022-EEO-286	5d86p304t	2022-12-16	Emergency Executive Order No. 286
Adams	EEO	287	no-pdf record	2022-EEO-287	xw42nb70f	2022-12-16	Emergency Executive Order No. 287
Adams	EEO	288	no-pdf record	2022-EEO-288	q811kn150	2022-12-16	Emergency Executive Order No. 288
Adams	EEO	289	no-pdf record	2022-EEO-289	k643b4371	2022-12-16	Emergency Executive Order No. 289
Adams	EEO	290	no-pdf record	2022-EEO-290	vd66w296v	2022-12-21	Emergency Executive Order No. 290
Adams	EEO	459	no-pdf record	2023-EEO-459	4m90dz960	2023-07-19	Emergency Executive Order No. 459
Adams	EEO	460	no-pdf record	2023-EEO-460	8336h495k	2023-07-19	Emergency Executive Order No. 460
Adams	EEO	461	no-pdf record	2023-EEO-461	rn3014923	2023-07-19	Emergency Executive Order No. 461
Adams	EEO	462	no-pdf record	2023-EEO-462	3b591c83r	2023-07-24	Emergency Executive Order No. 462
Adams	EEO	463	no-pdf record	2023-EEO-463	pk02cf19f	2023-07-24	Emergency Executive Order No. 463
