mayor	series	number	gpp_ids	date	title
Adams	EEO	896	2514nr015	2025-12-14	Emergency Executive Order No. 896
Mamdani	EO	15	xp68kn660	2026-03-19	Executive Order No. 15
Mamdani	EEO	1.1	5h73q186r	2026-01-10	Emergency Executive Order No. 1.1
Mamdani	EEO	1.32	7p88cp52b	2026-06-14	EMERGENCY EXECUTIVE ORDER No. 1.32
Mamdani	EEO	1.38	pg15bm75z	2026-07-14	EMERGENCY EXECUTIVE ORDER No. 1.38
Mamdani	EEO	1.6	ks65hj193	2026-02-04	Emergency Executive Order No. 1.6
Mamdani	EEO	1.9	ws859m58p	2026-02-19	Emergency Executive Order No. 1.9
Mamdani	EEO	2.15	j96025889	2026-03-21	Emergency Executive Order No. 2.15
Mamdani	EEO	2.16	d217qv67s	2026-03-26	Emergency Executive Order No. 2.16
Mamdani	EEO	2.20	ft848w848	2026-04-15	Emergency Executive Order No. 2.20
Mamdani	EEO	2.27	kh04dw602	2026-05-20	EMERGENCY EXECUTIVE ORDER No. 2.27
Mamdani	EEO	2.38	j3860d75z	2026-07-14	EMERGENCY EXECUTIVE ORDER No. 2.38
Mamdani	EEO	2.6	cf95jh50z	2026-02-04	Emergency Executive Order No. 2.6
Mamdani	EEO	2.9	2514nr18b	2026-02-19	Emergency Executive Order No. 2.9
Mamdani	EEO	3.1	pz50h230v	2026-02-23	Emergency Executive Order No. 3.1
de Blasio	EEO	12	bc386n641	2014-01-26	Emergency Executive Order No. 12
de Blasio	EEO	15	47429f31j	2014-01-31	Emergency Executive Order No. 15
de Blasio	EEO	18	3f462900f	2014-02-15	Emergency Executive Order No. 18
de Blasio	EEO	21	mk61rm65w	2014-02-25	Emergency Executive Order No. 21
de Blasio	EEO	24	9880vv85g	2014-03-12	Emergency Executive Order No. 24
de Blasio	EEO	27	2v23vx86w	2014-03-22	Emergency Executive Order No. 27
de Blasio	EEO	39	s1784q68c	2014-05-16	Emergency Executive Order No. 39
de Blasio	EEO	45	12579x02b	2014-06-10	Emergency Executive Order No. 45
de Blasio	EEO	51	794081588	2014-07-05	Emergency Executive Order No. 51
de Blasio	EEO	54	zg64tq32v	2014-07-20	Emergency Executive Order No. 54
de Blasio	EEO	56	ws859k12v	2014-07-25	Emergency Executive Order No. 56
de Blasio	EEO	57	g158bm955	2014-07-30	Emergency Executive Order No. 57
de Blasio	EEO	60	bn999b31f	2014-08-14	Emergency Executive Order No. 60
de Blasio	EEO	63	n009w589t	2014-08-24	Emergency Executive Order No. 63
de Blasio	EEO	69	2n49t495j	2014-09-18	Emergency Executive Order No. 69
de Blasio	EEO	72	q237hw313	2014-10-03	Emergency Executive Order No. 72
de Blasio	EEO	81	wh246w844	2014-11-12	Emergency Executive Order No. 81
de Blasio	EEO	84	cz30px051	2014-11-22	Emergency Executive Order No. 84
de Blasio	EEO	93	4j03d3124	2017-03-14	Emergency Executive Order No. 93
de Blasio	EEO	94	4b29b9677	2018-01-04	Emergency Executive Order No. 94
de Blasio	EEO	95	wd3760842	2018-01-05	Emergency Executive Order No. 95
de Blasio	EEO	96	g445ch855	2018-03-20	Emergency Executive Order No. 96
de Blasio	EEO	178	qf85nd40v,q524js078	2021-01-31	Emergency Executive Order 178
de Blasio	EEO	207	n870zv51d,jd472z724	2021-06-06	Emergency Executive Order No. 207
de Blasio	EEO	209	0r967728m,j098zd660	2021-06-16	Emergency Executive Order No. 209
de Blasio	EEO	211	f7623h259,qb98mh63x	2021-06-24	Emergency Executive Order No. 211
de Blasio	EEO	213	fn107127p,r781wk39d	2021-06-29	Emergency Executive Order 213
de Blasio	EEO	217	f4752k87v,vh53wz224	2021-07-11	Emergency Executive Order No. 217
de Blasio	EEO	231	hd76s2564,qf85nf89h	2021-09-02	Emergency Executive Order 231
de Blasio	EEO	233	765374866,jd472z87r	2021-09-04	Emergency Executive Order No. 233
de Blasio	EEO	237	hd76s258p,qv33s1060	2021-09-09	Emergency Executive Order 237
de Blasio	EEO	242	v118rg811,gx41mn59m	2021-09-15	Emergency Executive Order 242
de Blasio	EEO	244	9g54xm07n,hh63t0516	2021-09-19	Emergency Executive Order 244
de Blasio	EEO	246	3r074x06h,xg94hs90w	2021-09-19	Emergency Executive Order 246
de Blasio	EEO	248	tx31qm04k,pk02cf541,2v23vw68r	2021-09-24	Emergency Executive Order 248
de Blasio	EEO	251	tb09j783q,gq67jv658	2021-09-29	Emergency Executive Order 251
de Blasio	EEO	253	xp68kj628,8910jz10s	2021-09-29	Emergency Executive Order 253
de Blasio	EEO	254	mw22v7760,js956k35d	2021-09-29	Emergency Executive Order 254
de Blasio	EEO	255	h128nh165,sb397d22r	2021-10-04	Emergency Executive Order 255
de Blasio	EEO	256	4q77fv00p,rx913t37t	2021-10-04	Emergency Executive Order 256
de Blasio	EEO	257	1r66j357h,f7623h26k	2021-10-04	Emergency Executive Order 257
de Blasio	EEO	258	0g354j61p,1544br35q	2021-10-04	Emergency Executive Order No. 258
de Blasio	EEO	260	sb397b86w,44558h74w	2021-10-09	Emergency Executive Order 260
de Blasio	EEO	261	z603r079r,m613n211r	2021-10-09	Emergency Executive Order 261
de Blasio	EEO	262	41687k97r,2z10wt56d	2021-10-09	Emergency Executive Order 262
de Blasio	EEO	263	zc77ss382,3r074z09j	2021-10-14	Emergency Executive Order 263
de Blasio	EEO	265	2801pm15j,gb19f814r	2021-10-14	Emergency Executive Order No. 265
de Blasio	EEO	266	h989r5728,hh63t053r	2021-10-14	Emergency Executive Order 266
de Blasio	EEO	267	ks65hg573,rr172053q	2021-10-19	Emergency Executive Order No. 267
de Blasio	EEO	269	6969z454n,8623j1300	2021-10-19	Emergency Executive Order No. 269
de Blasio	EEO	270	9c67wr50w,wh246v902	2021-10-19	Emergency Executive Order No. 270
de Blasio	EEO	271	3r074z109,ht24wn05q	2021-10-24	Emergency Executive Order No. 271
de Blasio	EEO	273	1c18dj770,hh63sz388	2021-10-24	Emergency Executive Order No. 273
de Blasio	EEO	274	zs25xd04p,gt54kq463	2021-10-24	Emergency Executive Order No. 274
de Blasio	EEO	276	41687m97z,0p096925c	2021-10-29	Emergency Executive Order No. 276
de Blasio	EEO	277	m613n097x,f1881q36b	2021-10-29	Emergency Executive Order 277
de Blasio	EEO	283	pc289m51h,9019s604z	2021-11-03	Emergency Executive Order 283
de Blasio	EEO	292	m326m4233,tx31qn39w	2021-11-13	Emergency Executive Order 292
de Blasio	EEO	293	6d570008q,8c97kt986	2021-11-18	Emergency Executive Order 293
de Blasio	EEO	295	3197xq64m,bg257h26n,n009w594p	2021-11-18	Emergency Executive Order No. 295 
de Blasio	EEO	307	gt54kr43g,8336h4265	2021-12-03	Emergency Executive Order No. 307
de Blasio	EEO	319	3x816q14n,bc386n71f	2021-12-18	Emergency Executive Order 319
de Blasio	EEO	328	z029p808q,1r66j367r	2021-12-28	Emergency Executive Order No. 328
de Blasio	EEO	329	1544br44p,4b29b973c	2021-12-28	Emergency Executive Order 329
