gpp_id	date_published	calendar_years	title	desc	fileset
r207tq833	1950-12-31	1946,1949,1947,1948,1950	Executive Orders and Memoranda	A collection of the Executive Memoranda issued by Mayor William O'Dwyer and Acting Mayor Vincent R. Impellitteri between January 7, 1946 and October 4, 1950, with a subject index.	c821gm40c
cf95jd15r	1953-12-01	1950,1953,1952,1951	Executive Orders and Memoranda	A collection of Executive Memoranda issued by Mayor Vincent R. Impellitteri and Acting Mayor Joseph T. Sharkey between November 16, 1950 and November 24, 1953, with a subject index.	pz50gx73n
zw12z708m	1957-11-01	1956,1954,1957,1955	Executive Orders and Memoranda	A collection of the Executive Memoranda issued by Mayor Robert F. Wagner, Jr. and Deputy Mayor John J. Theobald between January 4, 1954 and November 26, 1957, with a subject index.	7d278v79z
fn107061s	1962-01-01	1960,1961,1958,1959	Executive Orders and Memoranda	A collection of the Executive Memoranda issued by Mayor Robert F. Wagner, Jr. between January 1, 1958 and December 22, 1961, with a subject index.	5138jg298
ht24wm250	1964-01-01	1963,1962	Executive Orders and Memoranda	A collection of the Executive Orders issued by Mayor Robert F. Wagner between January 23, 1962 and December 26, 1963, with a subject index.	9306t085s
hh63sx60k	1966-01-01	1965,1964	Executive Orders and Memoranda	A collection of Executive Orders issued by Mayor Robert F. Wagner between January 10, 1964 and December 21, 1965, with subject index.	pg15bg45d
wp988m593	1968-01-01	1966,1967	Executive Orders and Memoranda	A collection of Executive Orders issued by Mayor John V. Lindsay between January 4, 1966 and December 22, 1967, with a subject index.	1r66j294f
3b591b37f	1968-06-01	1966,1967,1968	Executive Orders and Memoranda	A list of un-numbered Executive Memoranda issued by Mayor John V. Lindsay between January 1, 1966 and May 13, 1968, with a list by date issued.	cj82k9061
9w0324914	1969-01-01	1966,1967,1968	Executive Orders and Memoranda	A collection of the Executive Memoranda issued by Mayor John V. Lindsay between January 6, 1966 and December 16, 1968, with a subject index.	5h73px613
w0892c63v	1970-01-01	1968,1969	Executive Orders and Memoranda	A collection of Executive Orders issued by Mayor John V. Lindsay between January 10, 1968 and December 29, 1969, with a listing by number	12579v150
bn999852s	1972-01-01	1971,1970,1969	Executive Orders and Memoranda	A collection of the Executive Memoranda issued by Mayor John V. Lindsay between January 16, 1969 and December 27, 1971, with a subject index.	6t053h76h
tt44pp54b	1972-01-01	1970,1971	Executive Orders and Memoranda	A collection of Executive Orders issued by Mayor John V. Lindsay between January 1,1970 and December 9, 1971, with a subject index.	wd375x968
1n79h5903	1973-12-01	1973,1972	Executive Orders and Memoranda	A collection of Executive Orders issued by Mayor John V. Lindsay between February 1, 1972 and November 12, 1973, with a subject index.	sj139367z
2j62s6696	1973-12-01	1973,1972	Executive Orders and Memoranda	A collection of Administrative Memoranda issued by Mayor John V. Lindsay between February 18, 1972 and November 5, 1973, with a subject index. Possibly incomplete.	h128ng45d
